experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
mixed_matern_rank3,000115.JPG,0.6485910573980608,[0.98897135 0.98747484 0.98002359 0.36598909 0.35057461 0.21851287],0.1356084371138602,0.24963303803070727,1.9962098598480225,982,246
mixed_matern_rank3,000117.JPG,0.6691967740119233,[0.98789337 0.99029781 0.99011797 0.32588899 0.28187862 0.43910388],0.1445833751215594,0.2767694519611971,1.6721186637878418,865,217
mixed_matern_rank3,000079.JPG,0.7536428205087723,[0.9455296  0.94591715 0.93170992 0.54015346 0.50230296 0.65624381],0.1317995192915532,0.25404473180085324,1.6024701595306396,833,209
mixed_matern_rank3,000072.JPG,0.6029350672507089,[0.99298618 0.99042694 0.9701142  0.26096274 0.15904187 0.24407847],0.14399814148896845,0.2785080732920961,1.5575292110443115,817,205
