experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000115.JPG,0.5590183148068878,[0.9796768  0.97374753 0.96315365 0.17808057 0.1403468  0.11910454],0.15355489642744388,0.32729505987622187,0.981471061706543,982,246
independent,000117.JPG,0.5908348251316702,[0.97225834 0.97661745 0.96214533 0.20749048 0.17472643 0.25177092],0.16007609317666957,0.3604774043990034,0.7306711673736572,865,217
independent,000079.JPG,0.6621639602983529,[0.90430005 0.92136401 0.92808067 0.3559032  0.36759338 0.49574246],0.15416584534224204,0.34645578726920323,0.6866140365600586,833,209
independent,000072.JPG,0.5410416586157333,[0.98049588 0.98187735 0.95937497 0.13853224 0.07417946 0.11179005],0.1546031513675461,0.3351190730948016,0.6783668994903564,817,205
matern05_rank1,000115.JPG,0.647371276210463,[0.99312881 0.98915523 0.98205979 0.35380104 0.29497546 0.27110733],0.13681639944287857,0.24023890849729335,2.12778902053833,982,246
matern05_rank1,000117.JPG,0.6693501968876611,[0.99332015 0.99169772 0.99044292 0.3242728  0.31322071 0.40314687],0.14417408569814674,0.27120537021643365,1.6526658535003662,865,217
matern05_rank1,000079.JPG,0.7494395946614526,[0.94923569 0.94164389 0.94472269 0.510392   0.5222449  0.62839841],0.13319725637238192,0.2562454221880509,1.5813210010528564,833,209
matern05_rank1,000072.JPG,0.6608746997407705,[0.97948755 0.99122209 0.97048696 0.31417222 0.30259066 0.40728872],0.13421907289079715,0.24289422966192326,1.451658010482788,817,205
matern05_rank2,000115.JPG,0.6548857779165036,[0.99237606 0.98977561 0.98357191 0.37139646 0.32565057 0.26654406],0.13497300058167788,0.23252097812117428,2.0500311851501465,982,246
matern05_rank2,000117.JPG,0.675933118298479,[0.99028521 0.99333746 0.98892329 0.32669534 0.29019292 0.46616448],0.1433598861176035,0.27162718076206904,1.67340087890625,865,217
matern05_rank2,000079.JPG,0.7471228100312611,[0.96722671 0.94957447 0.9435448  0.49660233 0.51376272 0.61202583],0.1340854995403776,0.25843795068677355,1.7490410804748535,833,209
matern05_rank2,000072.JPG,0.6492087383679501,[0.99617956 0.99289349 0.97691275 0.33547362 0.27074746 0.32304555],0.1353600475407829,0.23288604053823714,1.5816349983215332,817,205
matern05_rank3,000115.JPG,0.6768492312941156,[0.99521498 0.99016535 0.98370327 0.36266574 0.39718297 0.33216307],0.13148846850728385,0.22173180742712256,2.061845064163208,982,246
matern05_rank3,000117.JPG,0.6956536905037575,[0.99429533 0.99320148 0.9897069  0.37974202 0.38085094 0.43612547],0.13814036972938293,0.24927709361508288,1.6795680522918701,865,217
matern05_rank3,000079.JPG,0.7686522388177731,[0.96197415 0.94530453 0.9424782  0.55468672 0.53016956 0.67730027],0.12815538254116932,0.22594652002856974,1.581507921218872,833,209
matern05_rank3,000072.JPG,0.6327872370790626,[0.99705684 0.99147395 0.97629439 0.31408706 0.2459155  0.27189567],0.1381427180580274,0.24437919126049118,1.5581681728363037,817,205
matern05_rank4,000115.JPG,0.6662709325994786,[0.99579911 0.99031441 0.98332264 0.43110819 0.32860893 0.26847232],0.1320371543307037,0.2309761659829181,2.0784599781036377,982,246
matern05_rank4,000117.JPG,0.6920413254202858,[0.99173581 0.99606484 0.99155695 0.38922669 0.34846413 0.43519954],0.13888249384282544,0.25428220361913995,1.726902961730957,865,217
