experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern25_rank4,000115.JPG,0.5614248235509779,[0.97488989 0.9673917  0.96402636 0.18952717 0.13658314 0.13613068],0.15314783404653612,0.3084238269977151,2.221691846847534,982,246
matern25_rank4,000117.JPG,0.5948259295082092,[0.96973841 0.96789334 0.95895634 0.20631313 0.18360322 0.28245113],0.15962210922388187,0.3200502191131875,1.8235270977020264,865,217
matern25_rank4,000079.JPG,0.6747466902781891,[0.92539318 0.91405524 0.91009629 0.36092292 0.38174066 0.55627185],0.15165626154306752,0.31557656671207457,1.8042497634887695,833,209
matern25_rank4,000072.JPG,0.5290978482520331,[0.97659149 0.97789491 0.95772027 0.10934331 0.04915249 0.10388462],0.15677659110392123,0.32968808532628513,1.6978960037231445,817,205
