experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
independent,000115.JPG,0.5590183148068878,[0.9796768  0.97374753 0.96315365 0.17808057 0.1403468  0.11910454],0.15355489642744388,0.32729505987622187,0.981471061706543,982,246
independent,000117.JPG,0.5908348251316702,[0.97225834 0.97661745 0.96214533 0.20749048 0.17472643 0.25177092],0.16007609317666957,0.3604774043990034,0.7306711673736572,865,217
independent,000079.JPG,0.6621639602983529,[0.90430005 0.92136401 0.92808067 0.3559032  0.36759338 0.49574246],0.15416584534224204,0.34645578726920323,0.6866140365600586,833,209
independent,000072.JPG,0.5410416586157333,[0.98049588 0.98187735 0.95937497 0.13853224 0.07417946 0.11179005],0.1546031513675461,0.3351190730948016,0.6783668994903564,817,205
