experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank4,000115.JPG,0.6134233922352786,[0.98449282 0.97800028 0.97018213 0.32628732 0.24442851 0.17714928],0.142586260802076,0.2690538962352443,2.126338005065918,982,246
matern15_rank4,000117.JPG,0.6312943090205366,[0.98249963 0.98081173 0.97183477 0.25795625 0.23609197 0.35857151],0.15248221153982777,0.3085357202429919,1.7686729431152344,865,217
matern15_rank4,000079.JPG,0.6900860752880139,[0.93361334 0.92693612 0.9187258  0.38111458 0.40565965 0.57446697],0.14815531098394533,0.31279125410403796,1.7266180515289307,833,209
matern15_rank4,000072.JPG,0.588736442608329,[0.99001    0.98293394 0.95883277 0.2220339  0.16783139 0.21077666],0.14663947994899706,0.2846496231653217,1.624330997467041,817,205
