experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank2,000115.JPG,0.5642314020035694,[0.9864853  0.97910974 0.96954725 0.17638739 0.15035872 0.12350001],0.15268896765131085,0.30873785151976685,1.9809379577636719,982,246
matern15_rank2,000117.JPG,0.628009665854338,[0.97634373 0.98207637 0.95392879 0.23541377 0.2509057  0.36938963],0.15343014092582002,0.3149819050435291,1.6658399105072021,865,217
matern15_rank2,000079.JPG,0.6859861928923344,[0.93051924 0.91158165 0.90975682 0.40243677 0.40035774 0.56126493],0.14890822364742973,0.3205442315764281,1.5562598705291748,833,209
matern15_rank2,000072.JPG,0.5489672949991518,[0.98825451 0.98170596 0.96680708 0.1286535  0.10055085 0.12783188],0.1535235780170954,0.31701524430384564,1.5253167152404785,817,205
