experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern25_rank2,000115.JPG,0.5454246972351303,[0.98114571 0.97018501 0.95682387 0.14346247 0.10408313 0.11684798],0.15641763561956745,0.32751243974145205,2.130657911300659,982,246
matern25_rank2,000117.JPG,0.5903368254889519,[0.95656869 0.9652201  0.95637297 0.19664899 0.18517539 0.28203481],0.16053553753442576,0.33109642847085247,1.7139689922332764,865,217
matern25_rank2,000079.JPG,0.645262247171927,[0.92337358 0.90578923 0.89701926 0.33377063 0.36793414 0.44368664],0.1579668106507198,0.3504513157271093,1.6365461349487305,833,209
matern25_rank2,000072.JPG,0.5286162987740951,[0.98109576 0.97895961 0.95578042 0.09808867 0.04257052 0.11520281],0.15717454762888353,0.3360590841607096,1.5622389316558838,817,205
