experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
mixed_matern_rank1,000115.JPG,0.6152947224847418,[0.99014395 0.98751872 0.9784256  0.28745871 0.25803365 0.19018772],0.14276043934850513,0.27273881049894355,1.844059944152832,982,246
mixed_matern_rank1,000117.JPG,0.6522286335697081,[0.99127731 0.98812283 0.97929444 0.23469152 0.27412807 0.44585763],0.14902399889273651,0.30565770305928125,1.5067808628082275,865,217
mixed_matern_rank1,000079.JPG,0.7437220078977792,[0.94167058 0.94713938 0.93806687 0.52330054 0.46396478 0.6481899 ],0.13450779425769052,0.26404984056321745,1.4549028873443604,833,209
mixed_matern_rank1,000072.JPG,0.6200371265770586,[0.97025919 0.98508351 0.97274274 0.2449989  0.29097515 0.25616326],0.14074735699180044,0.27081130898425354,1.3993511199951172,817,205
