experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank2,000115.JPG,0.6548857779165036,[0.99237606 0.98977561 0.98357191 0.37139646 0.32565057 0.26654406],0.13497300058167788,0.23252097812117428,2.0500311851501465,982,246
matern05_rank2,000117.JPG,0.675933118298479,[0.99028521 0.99333746 0.98892329 0.32669534 0.29019292 0.46616448],0.1433598861176035,0.27162718076206904,1.67340087890625,865,217
matern05_rank2,000079.JPG,0.7471228100312611,[0.96722671 0.94957447 0.9435448  0.49660233 0.51376272 0.61202583],0.1340854995403776,0.25843795068677355,1.7490410804748535,833,209
matern05_rank2,000072.JPG,0.6492087383679501,[0.99617956 0.99289349 0.97691275 0.33547362 0.27074746 0.32304555],0.1353600475407829,0.23288604053823714,1.5816349983215332,817,205
