experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank3,000115.JPG,0.597692604238122,[0.98548446 0.97462067 0.96701831 0.2212665  0.20391932 0.23384636],0.14752259573951823,0.2768986586568792,2.0012381076812744,982,246
matern15_rank3,000117.JPG,0.6173606077210441,[0.97277928 0.97927623 0.96541441 0.27195243 0.20848318 0.30625812],0.15477525325180938,0.3338842633199304,1.668030023574829,865,217
matern15_rank3,000079.JPG,0.7141169516713403,[0.93673076 0.92932451 0.91005848 0.43536541 0.45805714 0.61516542],0.14211283820550008,0.28909491256179526,1.5923187732696533,833,209
matern15_rank3,000072.JPG,0.5576564443670285,[0.98928024 0.98291188 0.97395084 0.13444788 0.0984096  0.16693822],0.15234057844839224,0.30905079833490223,1.532628059387207,817,205
