experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern05_rank4,000115.JPG,0.6662709325994786,[0.99579911 0.99031441 0.98332264 0.43110819 0.32860893 0.26847232],0.1320371543307037,0.2309761659829181,2.0784599781036377,982,246
matern05_rank4,000117.JPG,0.6920413254202858,[0.99173581 0.99606484 0.99155695 0.38922669 0.34846413 0.43519954],0.13888249384282544,0.25428220361913995,1.726902961730957,865,217
matern05_rank4,000079.JPG,0.7620606155870523,[0.95778411 0.94764773 0.94501619 0.54295883 0.54997173 0.6289851 ],0.12973122233139792,0.24244241508877007,1.662966012954712,833,209
matern05_rank4,000072.JPG,0.6718923110997418,[0.99500379 0.98833419 0.97449483 0.42871446 0.258734   0.38607259],0.1305803658103028,0.23246057613387283,1.604689121246338,817,205
