experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern25_rank3,000115.JPG,0.5560942806668273,[0.98218143 0.97044934 0.96469263 0.17969776 0.12908774 0.11045678],0.15397712569579888,0.3050544605810242,2.1059410572052,982,246
matern25_rank3,000117.JPG,0.5932412278028113,[0.96993643 0.95480533 0.95870641 0.20370685 0.17171758 0.30057475],0.16021418441828206,0.33805630547672255,1.7615180015563965,865,217
matern25_rank3,000079.JPG,0.6692017752424149,[0.91335906 0.91100738 0.90257897 0.34921994 0.3706064  0.56843891],0.15280239680946822,0.32407025015859514,1.6839299201965332,833,209
matern25_rank3,000072.JPG,0.5317966572999294,[0.98005935 0.97719146 0.96085002 0.08526494 0.04542521 0.14198896],0.15697359907798666,0.3382157488035445,1.7473230361938477,817,205
